Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
143511 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143526 0x2014 0 0 0 0 FF 8C 0 1
143533 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143526 0x2014 0 0 0 0 FF 8C 0 1
143533 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143526 0x2014 0 0 0 0 FF 8C 0 1
143533 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143556 0x2014 0 0 0 0 0 33 0 0
143533 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143556 0x2014 0 0 0 0 0 33 0 0
143563 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143556 0x2014 0 0 0 0 0 33 0 0
143563 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143578 0x2014 0 0 0 0 FF 53 0 1
143563 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143578 0x2014 0 0 0 0 FF 53 0 1
143585 0x2114 0 0 0 0 FF FF FF FF
143541 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143578 0x2014 0 0 0 0 FF 53 0 1
143585 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143578 0x2014 0 0 0 0 FF 53 0 1
143585 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143608 0x2014 0 0 0 0 FF 62 0 1
143585 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143608 0x2014 0 0 0 0 FF 62 0 1
143615 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143608 0x2014 0 0 0 0 FF 62 0 1
143615 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143630 0x2014 0 0 0 0 0 4D 0 0
143615 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143630 0x2014 0 0 0 0 0 4D 0 0
143638 0x2114 0 0 0 0 FF FF FF FF
143593 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143630 0x2014 0 0 0 0 0 4D 0 0
143638 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143630 0x2014 0 0 0 0 0 4D 0 0
143638 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
